,5165,18.51,248.11,,5099.41,-269.06,-413.28,1.64,-87.29,493.15,82,1.57,1.51
,5247,18.75,247.28,,5177.11,-279.01,-437.51,0.44,-87.04,518.9,82,0.29,-1.01
,5330,18.54,249.34,,5255.76,-288.81,-462.16,0.83,-86.49,544.99,83,-0.25,2.48
,5413,19.61,245.82,,5334.2,-299.17,-487.22,1.89,-86.3,571.74,83,1.29,-4.24
,5495,20,241.86,,5411.35,-311.43,-512.14,1.7,-87.91,599.39,82,0.48,-4.83
,5578,18.44,238.48,,5489.73,-324.98,-535.85,2.31,-91.18,626.69,83,-1.88,-4.07
,5660,18.34,237.81,,5567.54,-338.64,-557.82,0.29,-95.22,652.56,82,-0.12,-0.82
,5743,18.95,241.07,,5646.18,-352.11,-580.67,1.45,-98.76,679.09,83,0.73,3.93
,5826,17.88,242.08,,5724.93,-364.6,-603.72,1.35,-101.31,705.27,83,-1.29,1.22
,5930,17.09,242.33,,5824.13,-379.17,-631.36,0.76,-103.99,736.47,104,-0.76,0.24
,6025,16.29,243.81,,5915.12,-391.53,-655.68,0.95,-105.93,763.69,95,-0.84,1.56
,6119,16.22,246.38,,6005.37,-402.61,-679.54,0.77,-106.86,789.86,94,-0.07,2.73
,6214,15.64,246.37,,6096.72,-413.06,-703.43,0.61,-107.21,815.74,95,-0.61,-0.01
,6308,16.06,242.59,,6187.15,-424.13,-726.58,1.19,-108.41,841.31,94,0.45,-4.02
,6403,15.66,239.15,,6278.53,-436.75,-749.25,1.08,-111.23,867.26,95,-0.42,-3.62
,6498,16.1,239.79,,6369.91,-449.95,-771.64,0.5,-114.69,893.25,95,0.46,0.67
,6592,17.2,241.3,,6459.97,-463.19,-795.1,1.26,-117.77,920.18,94,1.17,1.61
,6686,16.82,240.93,,6549.85,-476.47,-819.18,0.42,-120.65,947.67,94,-0.4,-0.39
,6781,16.29,240.46,,6640.92,-489.72,-842.78,0.58,-123.68,974.73,95,-0.56,-0.49
,6876,15.39,237.55,,6732.31,-503.05,-865.01,1.26,-127.32,1000.65,95,-0.95,-3.06
,6910,15.24,237.52,,6765.1,-507.87,-872.59,0.44,-128.82,1009.63,34,-0.44,-0.09
,6993,14.98,235.87,,6845.23,-519.75,-890.67,0.61,-132.74,1031.23,83,-0.31,-1.99
,7088,15.75,237.25,,6936.84,-533.61,-911.68,0.9,-137.35,1056.36,95,0.81,1.45
,7183,15.86,237.86,,7028.24,-547.49,-933.52,0.21,-141.65,1082.22,95,0.12,0.64
,7308,16.04,237.56,,7148.43,-565.84,-962.55,0.16,-147.27,1116.55,125,0.14,-0.24
,7371,16.33,237,,7208.94,-575.33,-977.33,0.52,-150.28,1134.1,63,0.46,-0.89
,7465,17.33,241.68,,7298.91,-589.17,-1000.74,1.79,-153.93,1161.29,94,1.06,4.98
,7560,17.75,246.9,,7389.5,-601.57,-1026.51,1.71,-155.33,1189.8,95,0.44,5.49
,7687,18.38,248.75,,7510.24,-616.42,-1062.98,0.67,-154.84,1228.78,127,0.5,1.46
,7782,18.86,249.59,,7600.27,-627.2,-1091.33,0.58,-153.76,1258.73,95,0.51,0.88
,7877,18.43,251.05,,7690.28,-637.44,-1119.93,0.67,-152.08,1288.63,95,-0.45,1.54
,7972,17.23,252.76,,7780.72,-646.48,-1147.57,1.38,-149.67,1317.14,95,-1.26,1.8
,8066,15.7,256.09,,7870.86,-653.67,-1173.21,1.91,-146.32,1343.02,94,-1.63,3.54
,8161,14.32,256.66,,7962.62,-659.47,-1197.12,1.46,-142.38,1366.75,95,-1.45,0.6
,8256,13.27,256.7,,8054.88,-664.69,-1219.16,1.11,-138.62,1388.59,95,-1.11,0.04
,8354,12.28,256.01,,8150.45,-669.79,-1240.22,1.02,-135.14,1409.53,98,-1.01,-0.7
,8395,11.92,256.08,,8190.54,-671.87,-1248.56,0.88,-133.81,1417.86,41,-0.88,0.17
,8519,10.67,249.74,,8312.14,-678.92,-1271.76,1.42,-131.29,1441.64,124,-1.01,-5.11
,8601,10.74,248.49,,8392.71,-684.35,-1285.99,0.3,-130.76,1456.75,82,0.09,-1.52
,8684,13.01,243.55,,8473.93,-691.35,-1301.56,2.99,-131.16,1473.78,83,2.73,-5.95
,8807,13.22,237.62,,8593.73,-705.05,-1325.83,1.11,-134.35,1501.64,123,0.17,-4.82
